,, 533 ," 9,644 "," 4,547 ",,,," 221,299.01 ",," 7,143,832.81 "," 559,776.83 "," 539,252.67 ",,,,,,,,,,,,," 499,983.03 "," 473,569.68 "," 973,552.71 "
BATCH NO.,BY,TOTAL CTN," Gross
Weight "," Volume
Weight ",Duty,Mat'l no, QTY ,AMOUNT, EX.RATE@ ,AMOUNT (THB), Actual Duty Fee , Actual Vat Fee , SERVICE& Handling Chgs , Transportation ," Paperless, Document, D/O , Bank Fee ", Customs fee , Customs Overtime , Freight+FUEL+Security charge ," EX-WORK/ 
FREE ZONE CHG "," CAF, CC Fee "," THC, CFS, STATUS, FACILITY ", Port/Storage /Terminal charges , Translate fee for through B/L for Form E document , Courier fee for Form E document , TOTAL Freight&Local chgs(Excluded VAT) , vat 7% , Grand Total 
IM190504,AIR, 7 , 141.00 , 141.00 ,5%,40356,541.20,"2,624.82",31.8486,"83,596.84"," 4,179.84 "," 6,144.37 "," 1,200.00 ",, 300.00 , 200.00 ,," 13,797.92 ",," 1,089.90 ",," 2,930.00 ",, - ," 19,517.82 "," 7,251.39 "," 26,769.21 "
IM190512,AIR, 35 , 186.00 , 214.00 ,30%,50838,400.00,64.00,31.8486,"2,038.31", 611.49 , 185.49 ," 1,200.00 ",, 300.00 , 200.00 ,," 11,848.50 ",, 992.43 ,," 6,507.00 ",, 715.10 ," 21,763.03 "," 19,701.96 "," 41,464.99 "
IM190512,AIR,,,,30%,50839,300.00,54.00,31.8486,"1,719.82", 515.95 , 156.50 ,,,,,,,,,,,,, -   ,, -   
IM190512,AIR,,,,30%,50839,"3,000.00",540.00,31.8486,"17,198.24"," 5,159.47 "," 1,565.04 ",,,,,,,,,,,,, -   ,, -   
IM190512,AIR,,,,30%,50838,400.00,64.00,31.8486,"2,038.31", 611.49 , 185.49 ,,,,,,,,,,,,, -   ,, -   
IM190512,AIR,,,,30%,50844,"1,400.00",252.00,31.8486,"8,025.85"," 2,407.75 ", 730.35 ,,,,,,,,,,,,, -   ,, -   
IM190512,AIR,,,,30%,50841,"1,000.00",220.00,31.8486,"7,006.69"," 2,102.01 ", 637.61 ,,,,,,,,,,,,, -   ,, -   
IM190512,AIR,,,,30%,50842,500.00,125.00,31.8486,"3,981.08"," 1,194.32 ", 362.28 ,,,,,,,,,,,,, -   ,, -   
